"jaar","naam","a1","a2","a3","a4","a5","a6","a7","a8"
2019,"Evelien",NA,11,16,NA,NA,NA,NA,NA
2019,"Merel",NA,12,15,17,15,13,22,30
2019,"Niels",NA,13,17,18,18,20,30,32
2019,"Robert",NA,7,4,8,NA,NA,NA,NA
2019,"Sarah",NA,12,10,11,13,13,24,38
2019,"Sinan",NA,11,11,13,14,12,24,NA
2019,"Nick",NA,10,4,NA,NA,NA,NA,NA
2019,"Jamie",NA,9,9,16,21,18,NA,NA
2019,"RP",NA,15,14,17,19,24,NA,NA
2018,"Stine",9,15,16,21,28,33,NA,NA
2018,"Emilio",10,11,15,NA,NA,NA,NA,NA
2018,"Simone",9,11,13,17,17,18,28,NA
2018,"Jan",12,10,10,9,11,10,18,27
2018,"Olcay",9,15,17,16,21,18,20,26
2018,"Bella",9,8,NA,NA,NA,NA,NA,NA
2018,"JP",10,NA,NA,NA,NA,NA,NA,NA
2018,"Ruben",9,13,10,15,23,21,34,47
2018,"Loes",12,17,19,22,NA,NA,NA,NA
2020,"Claes",7,8,9,6,5,NA,NA,NA
2020,"Leonie",16,23,21,14,12,12,10,NA
2020,"Miljuschka",10,15,20,17,20,23,21,25
2020,"Rob",6,7,NA,16,23,26,23,25
2020,"Tina",15,NA,10,NA,NA,NA,NA,NA
2020,"Buddy",18,15,15,15,18,16,12,12
2020,"Nathan",11,13,16,18,22,23,34,38
2020,"Anita",NA,NA,NA,NA,NA,NA,NA,NA
2020,"Jaike",6,8,NA,NA,NA,NA,NA,NA
2020,"Johan",11,12,9,14,NA,NA,NA,NA
2017,"Thomas",9,8,8,10,14,22,22,NA
2017,"Sanne",12,14,14,15,15,16,16,NA
2017,"Jochem",9,9,11,15,20,25,23,NA
2017,"Diederik",11,14,18,20,22,26,27,NA
2017,"Yvonne",8,NA,NA,NA,NA,NA,NA,NA
2017,"Vincent",NA,NA,NA,NA,NA,NA,NA,NA
2017,"Sigrid",9,10,12,13,NA,NA,NA,NA
2017,"Roos",9,10,10,NA,NA,NA,NA,NA
2017,"Jeroen",11,14,15,15,19,NA,NA,NA
2017,"Immanuelle",8,9,8,8,10,11,NA,NA
